评论内容,毒性评论,普通评论,
73集团军辛苦啦，注意安全,,1,
心系人民，注意安全,,1,
辛苦了！注意安全！,,1,
请注意安全,,1,
辛苦了，请平安归来！,,1,
拜托了?，也请保护好自己,,1,
辛苦了，注意安全,,1,
辛苦了，注意安全。,,1,
致敬！愿我们的军哥哥们个个平安凯旋归来！,,1,
辛苦了！平安归来,,1,
人民子弟兵，辛苦了！,,1,
注意安全哇,,1,
辛苦了注意安全?,,1,
撑住，辛苦了，希望一切都顺利，注意安全！,,1,
祝福军儿和战友们胜利凯旋???,,1,
关键时刻总是我们的子弟兵冲锋在前,,1,
注意安全！！！！！,,1,
辛苦了注意安全，你们是好样的,,1,
辛苦了但是跑来泉州了,,1,
希望大家都平平安安啊,,1,
辛苦了，注意安全,,1,
注意安全人民子弟兵，永远是我们最坚强的后盾！,,1,
这些孩子怎么哪里危险去哪里,,1,
注意安全！,,1,
来自中国人的团结,,1,
都要注意安全！,,1,
一定也要保护好自己,,1,
大家平平安安,,1,
辛苦了，注意安全,,1,
辛苦了！注意安全！,,1,
辛苦了 注意安全,,1,
辛苦辛苦，注意安全啊！,,1,
辛苦了，致敬！注意安全。,,1,
#女网警说#你们辛苦了，请平安归来！,,1,
辛苦了，都要平平安安！,,1,
兵哥哥们，注意安全，平安归来???,,1,
辛苦啦！一定要注意安全！！！,,1,
注意安全，平安归来,,1,
一定要注意安全！辛苦了,,1,
注意安全注意安全注意安全?,,1,
辛苦了！?注意安全啊！,,1,
辛苦了！愿平安归来！,,1,
注意安全?,,1,
#3000多名官兵紧急出动支援厦门#????,,1,
厦门是我今年4月去旅游过并且很喜欢的城市，各位救援英雄辛苦啦，致敬，一定会好起来的,,1,
辛苦了！！！注意安全！平安归来！！,,1,
注意安全！！,,1,
台风经历多了，觉得没什么好怕的，躲家里不出门是最安全的！感谢我们人民子弟兵！,,1,
你永远可以相信人民的解放军,,1,
人民子弟兵一定要平安归来呀！,,1,
辛苦了，请平安归来!,,1,
希望都能平平安安的,,1,
辛苦了，请平安归来,,1,
辛苦了，注意安全??,,1,
辛苦了，注意安全,,1,
希望平安回来,,1,
辛苦了！注意安全！平安归来！?,,1,
谢谢有你们！,,1,
辛苦 都要保护好自己 平安归来,,1,
中华有你们 万幸！,,1,
愿平平安安,,1,
辛苦了，请平安归来！,,1,
风雨兼程，感谢有你！向中国军人致敬,,1,
可不可以也去看看鳄鱼小河怎么样了，它会不会挺不过这次,,1,
满满的安全感,,1,
辛苦了，请也保护好自己,,1,
感谢子弟兵，大家都要注意安全,,1,
这些也都是别人家的孩子，请一定要平安,,1,
愿平安，注意安全??????,,1,
注意安全！,,1,
千万注意安全,,1,
愿大家都平平安安！,,1,
有你们在，就有安全感！致敬,,1,
所有人注意安全，平安归队?,,1,
注意安全，平安归来,,1,
大家都要平平安安,,1,
感谢人民子弟兵，福建人民真的有在怕这个台风,,1,
可以紧急奔赴泉州了,,1,
中国人民解放军指战员辛苦了，平安归来,,1,
辛苦了！注意安全！,,1,
注意安全，平平安安！,,1,
辛苦了！你们也要安全啊！???,,1,
看着就很有安全感！,,1,
辛苦了注意安全?,,1,
辛苦了愿平安归来,,1,
辛苦了，注意安全,,1,
辛苦了！救援一切顺利，注意安全。,,1,
辛苦啦，注意安全,,1,
愿平安，注意安全,,1,
辛苦了，注意安全?,,1,
一方有难八方支援，哪有危险，哪里就有子弟兵,,1,
感谢!大家平安!,,1,
辛苦了！请平安归来,,1,
辛苦了 注意安全要平平安安的,,1,
注意安全 辛苦了,,1,
辛苦了！注意安全,,1,
注意安全啊，辛苦了,,1,
子弟兵永远都是中国老百姓坚强的后盾。盼望大家都平安！???,,1,
辛苦辛苦辛苦辛苦辛苦辛苦辛苦辛苦,,1,
注意安全啊,,1,
辛苦了，致敬,,1,
注意安全啊,,1,
平安平安平安?,,1,
满满安全感！,,1,
平安归来！,,1,
关键时刻你们来了，致敬人民子弟兵。,,1,
愿大家都平平安安??,,1,
注意安全?,,1,
辛苦了，注意安全,,1,
顺顺利利平平安安，辛苦你们了,,1,
辛苦了 一定注意安全,,1,
辛苦了，注意安全啊！,,1,
泉州呢泉州呢！！！,,1,
有你们在 就有安全感 辛苦了 全员一定平安归队?,,1,
【子弟兵来了！第73集团军#3000多名官兵紧急出动支援厦门#】#杜苏芮将正面袭击福建#,,1,
辛苦了，安全第一,,1,
辛苦了，平安归来,,1,
辛苦了，愿平安,,1,
守护神来了,,1,
辛苦了爱你们,,1,
在泉州登陆,,1,
感谢解放军叔叔,,1,
注意安全啊,,1,
致敬我们可爱的子弟兵,,1,
平平安安-李,,1,
我们泉州呢？,,1,
人民子弟兵。,,1,
我们泉州自己扛了,,1,
厦门正面硬钢？！浙江南部风急雨骤了！加油加油 #浙战台风#,,1,
我好像看见有一个戴眼镜的，近视？,,1,
??致敬老31,,1,
台风来了，要躲，不要硬抗。,,1,
73军本就在厦门,,1,
台风去晋江了,,1,
福州啥风都没有,,1,
哦谢啦，我们泉州靠百姓扛,,1,
哪里有危险，哪里就有子弟兵,,1,
解放军战士快去救救晋江吧,,1,
这是出动了一个旅啊！看来这次台风来势很凶猛,,1,
广东的台风 最喜欢,,1,
这才是真男人啊,,1,
要紧急支援隔壁晋江了,,1,
抗灾抢险 还得看咱们子弟兵,,1,
哪里有困难，哪里就有你们高大的身躯！！！,,1,
28中午就从厦门赶赴泉州了，好像是,,1,
在中国你记住，有一种安全感叫解放军来了,,1,
平平安归来,,1,
平安归来！,,1,
人民子弟兵！,,1,
辛苦了，请平安归来！,,1,
人民子弟兵！,,1,
平安归来！,,1,
辛苦！平安归来,,1,
辛苦了，注意安全！,,1,
一定注意安全 平安！,,1,
辛苦了，注意安全！,,1,
辛苦了，请平安归来！,,1,
子弟兵抗灾之后顺手把湾湾收了吧,,1,
辛苦了 都平安归来,,1,
辛苦了，祝平安归来！,,1,
趁着台风把兵哥哥送到前线吧，神不知鬼不觉的好时机呢,1,,
多謝73团子弟兵[贊],,1,
辛苦了！注意安全！人民子弟兵是当代最可爱的人,,1,
辛苦了！！,,1,
辛苦了 注意安全?,,1,
快去泉州！,,1,
辛苦了注意安全?,,1,
辛苦了，注意安全?,,1,
辛苦了！平安归来！,,1,
辛苦了，平安回来,,1,
辛苦了！平安归来。,,1,
辛苦了 平安回来,,1,
辛苦！都平安归来,,1,
辛苦了！致敬！,,1,
辛苦了！平安归来,,1,
爱唯清澈，祖国永誉我，初心贞节。砥柱昆仑仪气魄，百战不输英烈。天路峥嵘，高原极地，剑斩巍峨雪。根红奉戍，亘时光静好阕。                   到死似铁男儿，往来华夏，洒尽忠魂血。听党指挥争胜利，扫靖人间饕餮。邦本流源，山融海铸，定宇能团结。军民同志，无敌行信决绝,,1,
然而杜苏芮虚晃一枪去了泉州和晋江，厦门目前稍微平静一些,,1,
辛苦了！平安归来,,1,
辛苦啦 平安归来,,1,
辛苦了 注意安全,,1,
辛苦了大家,,1,
天啊注意安全,,1,
辛苦了 休息安全,,1,
平安归来！?,,1,
辛苦了 平安归来,,1,
莲花，老部队。辛苦兄弟们,,1,
为什么没有泉州的份，是看不起泉州嘛,1,,
中国军队擅长拯救救灾，美国军队擅长制造灾难,,1,
晋江晋江晋江,,1,
大家都要平平安安,,1,
辛苦了  平安归来,,1,
来都来了。。。再往东南救个灾怎么样,,1,
子弟兵，辛苦了！,,1,
辛苦了！平安归来。,,1,
辛苦了！平安归来。,,1,
辛苦了祝平安！,,1,
注意安全平安归来,,1,
辛苦了，注意安全,,1,
辛苦了平安归来,,1,
辛苦了 一路平安,,1,
平安归来，辛苦了，,,1,
注意安全，平安回来,,1,
辛苦了，请平安归来！,,1,
辛苦了，注意安全。,,1,
辛苦了注意安全,,1,
辛苦了，注意安全！,,1,
辛苦了 平安归来,,1,
平安归来！,,1,
辛苦了，平安归来。,,1,
辛苦了，平安归来。,,1,
辛苦了，请平安归来！,,1,
辛苦了 平安回来,,1,
辛苦了平安归来,,1,
台湾: 确定是说的台风吧？,,1,
目前来看，泉州更需要,,1,
杜苏芮怕了所以台风往泉州去了,,1,
???人民子弟兵,,1,
杜苏芮瑟瑟发抖吧,,1,
哪里有灾情，哪里就有人民子弟兵,,1,
城市上千万人，组织不起来，一有灾难就依赖部队，军队是防外侵的，不是专职救灾的，希望军人做军人自己的事,,1,
台湾群众也受灾了啊,,1,
注意安全！辛苦了,,1,
小山区里以前台风就一点毛毛雨，这次来真的了躲家里！,,1,
不是我联想啊，关键是你这个让我没法不联想啊，对，我说的就是卖电脑那个联想,,1,
子弟兵也要注意安全啊！,,1,
人民子弟兵！,,1,
湾湾：姓杜的刚走，姓解的又来了？,,1,
晋江:还有我！,,1,
平平安安加油,,1,
一定平安啊~,,1,
人民子弟兵,,1,
我 fk 兄弟们在哪里？,,1,
注意安全。平安出发平安归来,,1,
这个时候，我们最可爱的人出现了。致敬！,,1,
顺便常驻福建。随时解放台湾。,,1,
关键时刻还是人民子弟兵,,1,
华夏文明能延续的根源就是以人为本，互相帮助。感谢子弟兵你们也要注意安全,,1,
结果在晋江登录了，那边的人们啥都没准备,,1,
不喜歡颱風,,1,
永远相信人民子弟兵,,1,
支援晋江吧，对厦门影响不大了,,1,
[淚]阵仗好大啊，可是我们现在没风没雨的，好可怕,,1,
辛苦了，请平安归来,,1,
福建撑住，加油加油，平平安安,,1,
在晋江登陆,,1,
注意安全！！！,,1,
73军是济南那个吗,,1,
致敬所有英雄们！祈福平安！???,,1,
向人民子弟兵致敬！,,1,
致敬，你们辛苦了[粽意你],,1,1
致敬最可爱的人，辛苦了。,,1,1
今天也是他们的节日呀，节日快乐，辛苦了,,1,1
致敬一直全力以赴守护我们的军人朋友,,1,1
致敬  辛苦了,,1,1
辛苦啦，人民军队，谢谢你们的用心守护,,1,1
人民子弟兵,,1,1
对于子弟兵来说，今天不是节日，而是工作日,,1,1
解放军来啦,,1,1
求求你了看看河北的灾情,,1,1
#寻美中国# 哪里有危险，哪里就有人民子弟兵啊。,,1,1
人民子弟兵节日快乐！,,1,1
辛苦了 致敬,,1,1
厉害了，我的国,,1,1
人民子弟兵 守护人民,,1,1
看看河北，看看涿州啊,,1,1
辛苦了，人民军队爱人民，致敬八一,,1,1
对于子弟兵来说，今天不是节日，而是工作日,,1,1
辛苦了！希望大家平安、顺利！,,1,1
致敬！你们辛苦了,,1,1
万里河山，有你皆安！,,1,1
致敬 辛苦了,,1,1
最可爱的人 辛苦了 注意安全啊,,1,1
致敬最可爱的人你们辛苦了！,,1,1
对于子弟兵来说，今天不是节日，而是工作日,,1,1
能不能拍个现场人员啊，真的好担心,,1,1
去看看涿州啊去看看涿州啊，听我妈说整个涿州市停水，因为自来水厂崩了，没有水，电可能也要停了，菜也买不上，真的很恐怖，求求了，看看涿州！！！,,1,1
大约五点半左右，能听到从我脑袋上空飞过，声音贼大赵哥说是大货车@我看不懂但是我大受震撼  希望一切顺利?,,1,1
真的，关键时刻，都是子弟兵,,1,1
有朝一日，希望区一级政府都有自己的救援直升机,,1,1
辛苦了注意安全,,1,1
致敬，辛苦了,,1,1
致敬中国军人，你们辛苦了，八一节快乐,,1,1
辛苦了。节日快乐。,,1,1
伟大的人民子弟兵,,1,1
救援来了！,,1,1
致敬，辛苦了,,1,1
致敬 辛苦了,,1,1
致敬你们辛苦了,,1,1
致敬所有救援人员！人间有大爱！,,1,1
没有轻而易举就能获得的太平， 和平时代也有涌动的暗流， 是军人将自己化作屏障， 护住了我们的安稳生活。,,1,1
致敬！你们也要注意安全！,,1,1
大雨是大自然的产物是从天上落下来的洪水是自己走的不是什么帮北京泄洪，有些人别那么闹。,,1,1
致敬，辛苦了，希望尽快把电路抢修好！联系不上家里人很担心！,,1,1
向节日里奋战前线的军人致敬,,1,1
致敬八一，你们辛苦了。,,1,1
消息传出来了么？,,1,1
这么早真的很辛苦啊,,1,1
致敬最可爱的人,,1,1
致敬最可爱的人,,1,1
致敬最可爱的人,,1,1
今天又是一个建军节。除了点赞战场上的英雄，我们也为抗洪抢险的冲锋在第一线的子弟兵点赞。,,1,1
当代最可爱的人。,,1,1
辛苦了，大家都要注意安全,,1,1
致敬一直全力以赴守护我们的军人朋友,,1,1
致敬一定要平平安安,,1,1
辛苦了 致敬,,1,1
致敬?愿平安???,,1,1
致敬，辛苦了,,1,1
致敬最可爱的人,,1,1
致敬，辛苦了,,1,1
致敬你们辛苦了,,1,1
致敬最可爱的人,,1,1
#女网警说#你们辛苦了！,,1,1
哪里需要，哪里就有人民子弟兵的身影，辛苦！致敬！,,1,1
愿一切平安，顺利救援,,1,1
#4架陆航直升机赴门头沟开展空投救援#,,1,1
先转为敬，火速围观~,,1,1
求支援斋堂镇马栏村！！谢谢！！,,1,1
早上9:00左右往返飞了，我看见了,,1,1
希望暂时失联的人员都平安无事???,,1,1
能不能多几架直升机呀？失联村镇至少三万多人这也不够呀？,,1,1
致敬人民的字护神，任何艰险时刻就会有你们的身影,,1,1
可不可以去房山的山区也看看家人在十渡，已经断联24小时了，消息就像封锁了，没有任何渠道能打听到情况，拜托派直升机去十渡看看???,,1,1
早晨就在我头顶飞过去的 听见了,,1,1
致敬 感谢,,1,1
投在门头沟山区那里？好想知道有没有我们家，我们家那里啥情况了,,1,1
不要抱怨，大家都在努力都在想办法,,1,1
致敬，辛苦您们了，愿平安,,1,1
希望来涿州,,1,1
刚从我们这飞过去,,1,1
河北也需要援助，帮帮我们谢谢,,1,1
雨带越不过燕山呀？落到内蒙多好。,,1,1
#门头沟这些地区通讯全部中断# 请媒体多报道一下门头沟的山洪吧???整个山区全部失联，山区占整个门头沟面积97%，进山只有一条路，现在路断网断信号全断，已经失联24小时，山里平原面积小，生活的都是老人小孩，他们撤离都没地方可以去！！！！！,,1,1
辛苦了！ 关注关注涿州吧！,,1,1
这好钱用在刀刃上！平时少一些表演秀！,,1,1
希望河北一切平安,,1,1
不知道门头沟区大台街道桃园社区那边怎么样了？,,1,1
信号中断，联系不到家人很担心,,1,1
注意安全，平安归来,,1,1
涿州可以空投就好了,,1,1
希望直升机能去山里看看情况怎么样,,1,1
致敬最可爱的人,,1,1
感谢人民军队 辛苦了,,1,1
看看河北涿州吧，别光顾着北京的爷！,,1,1
任何危难时刻，群主最期盼的就是部队。你们也要安全呀！！！,,1,1
水什么时候能有啊,,1,1
辛苦了，建军节快乐,,1,1
解放军来了！哪里需要就到哪里了，谢谢，感动，节日快乐转发微博,,1,1
险情就是军情，永远冲在最前面的子弟兵，致敬最可爱的人,,1,1
致敬最可爱的人你们辛苦了！,,1,1
致敬！愿一切平安！,,1,1
三万人的地区送1900食品700毛毯扯犊子呢？就四架直升机 够吗？？,,1,1
向人民子弟兵致敬，建军节快乐,,1,1
辛苦了，节日快乐,,1,1
看看涿州吧，灾情非常严重，多名老人儿童被困,,1,1
就说今天早上五点多窗外轰隆隆的～辛苦了，愿所有人平安～,,1,1
八一建军节，在人民需要他们的时候，他们依旧义无反顾，冲在前面，向每一位人民解放军致敬！,,1,1
致敬，辛苦了,,1,1
致敬，辛苦啦，节日快乐哦～,,1,1
?，辛苦注意安全,,1,1
祝解放军叔叔节日快乐！,,1,1
最可爱的人,,1,1
致敬最可爱的人,,1,1
门头沟 千军台，家人还是失联，什么时候恢复信号啊,,1,1
辛苦辛苦！！！保佑战士们和我家人平安！！！,,1,1
希望关注下河北省涿州,,1,1
让每一个受困的人活着回家,,1,1
请问门头沟雁翅镇开始抢修了吗,,1,1
辛苦了，注意安全,,1,1
看到了，早上五点半从家阳台外面飞过去了，致敬,,1,1
八一建军节，献花绘子弟兵,,1,1
致敬最可爱的人,,1,1
好样儿的！,,1,1
致敬，辛苦了,,1,1
致敬人民子弟兵!,,1,1
大家要平安,,1,1
大家都要平安啊,,1,1
致敬最可爱的人，你们辛苦了！,,1,1
致敬最可爱的的人,,1,1
致敬！英雄们辛苦了！,,1,1
原理河道两岸的住宅,,1,1
北京的救援真迅速，直接上了直升机,,1,1
今天是八一，也是你们的节日。希望大家都可以平安归来，辛苦啦致敬,,1,1
人民子弟兵,,1,1
希望赶紧晴天，伤亡降到最低,,1,1
坐标门头沟城区 应急通信车早就到位了 单位应急值守一晚上了 就等着公路清障后 进山抢修通信设施去了。原来不觉得，现在发现一格的手机信号，能报个平安，真是多么重要。山区通信全断，公路全断，对外隔绝让太多人揪心了。,,1,1
辛苦了，平安,,1,1
向人民子弟兵致敬,,1,1
早起听见直升机从头上飞过了,,1,1
人民子弟兵,,1,1
人民子弟兵辛苦了！??,,1,1
辛苦啦?人民子弟,,1,1
我凌晨听到直升机了,,1,1
看看门头沟山里的情况吧家里人全都失联了,,1,1
别的地方有问题也是军用直升机救援吗？,,1,1
K396失联24小时了，联系不上,,1,1
联系不上家人,,1,1
希望大家都平安！向解放军致敬！,,1,1
哪里有困难，哪里有人民子弟兵,,1,1
节日快乐～ 辛苦啦,,1,1
致敬最可爱的人！,,1,1
致敬最可爱的人,,1,1
一方有难，八方支援,,1,1
赶紧，赶紧，也要注意安全,,1,1
军训的时候，同学们问教官，过年的时候部队里有什么节目吗？教官说百姓过年军队备战，军队从不过节。他们的生活没有仪式感，但是他们给了我们绝对的安全感，致敬！英雄！,,1,1
致敬 你们辛苦啦,,1,1
辛苦了，一定注意安全,,1,1
致敬最可爱的人,,1,1
辛苦了 注意安全,,1,1
天呐 一切平安,,1,1
致敬，注意安全,,1,1
辛苦啦，人民军队，谢谢你们的用心守护大家都平安?,,1,1
辛苦了 注意安全,,1,1
致敬最可爱的人，你们辛苦了,,1,1
致敬人民子弟兵，你们辛苦了，祝你们节日快乐,,1,1
有些人真的是阴暗，不动员百姓，动员你家嘛？你以为是玩游戏还是搞笑？上千人，发洪水道路不通的情况下，食物飞进来？帐篷、床飞进来？还是天上掉下个安置点？能不能有点阳光有点正能量？,,1,1
我好奇前三几个阴阳怪气的是不是1450，这个时候出来放屁,,1,1
不拿老百姓一针一线，所以，对出了力的村民能补贴吧？,,1,1
前几年河南暴雨的时候我在新乡，感受到了大爱，很感动，现在想起来还想流泪！很多志愿者到新乡到郑州，送去各种物资，有矿泉水、速冻水饺、方便吗、面包……感受到了爱，中华民族的团结！关键时候我也会顶上去！,,1,1
搞不明白 这都5G时代了？通信还能中断？,,1,1
正常的操作。带节奏得真够多的。,,1,1
动员全体村民，往老百姓家里疏散，该怎么理解？,,1,1
评论区太多智商下限了,,1,1
希望都能平安到家,,1,1
廉江被虐婴儿 求各位善良人帮忙顶热度。3月龄婴儿被亲父虐打几十耳光，掌掴力度之大令人不忍直视，视频中宝宝脸颊青肿眼白泛灰。事发后当地除了一份不明晰的警情通报再无后续，孩子处境堪忧。尚在襁褓便幼无所依，其惨其痛不可向人语焉，眼角泪痕刺痛人心。呼吁公开孩子身体现状剥夺监护权,,1,1
群众基础点赞，愿平安,,1,1
这次怎么这么严重..,,1,1
这些个旅客住在人家家里吃东西最好给钱 别觉得人家欠了他,,1,1
哇，正能量唉,,1,1
我们家就是泄洪区，目前已经撤出家园,,1,1
还记得那年门头沟 一个人 心像裂了一样,,1,1
过两天还有一个卡努台风，也会带来强降水，防洪形势严峻，祝平安,,1,1
想知道门头沟那边是停电了吗，我闺蜜两口子两天了联系不上！！！知道的能不能告知一下！！！急！！！！！！,,1,1
打起仗来简直不敢相信,,1,1
给中国人点赞,,1,1
回复@电线杆中杆:郑州720时停电停网停水了三天,,1,1
这段地形我很了解，安家庄村建在缓山坡上，只要不发生大规模泥石流，很安全的，村子不大，接待这么多人很不容易。车停在落坡岭站，往东到王平，应该已经淹了，不好走。往南到千军台，路太远。再往西到雁翅，路也远。丰沙线沿线山高谷深，这是目前最佳选择。,,1,1
//@可能不是有趣的灵魂:有些人真的是阴暗，不动员百姓，动员你家嘛？你以为是玩游戏还是搞笑？上千人，发洪水道路不通的情况下，食物飞进来？帐篷、床飞进来？还是天上掉下个安置点？能不能有点阳光有点正能量？,,1,1
720郑州大暴雨的时候被困火车，在郑州西待了48+小时。车门打开后，上街出现了很多志愿者冒着大雨免费接送乘客到当地的酒店和安置点。危难时见真情，祝愿好人一生平安。,,1,1
为什么这么多人戾气重，明明大家困难面前互帮互助，一堆人说钱钱钱，你们在生活中难道从来不帮人不让人帮吗，看的寒心,,1,1
希望都能平安到家！,,1,1
希望都能平安到家,,1,1
门头沟区大部分地区都停水了 我们家在接雨水喝，希望早日通水,,1,1
希望都能平安回家,,1,1
平平安安的就好，希望 通讯、道路早点恢复,,1,1
向抗灾前线的官兵致敬，并祝八一节快乐,,1,1
涿州有人管吗,,1,1
人民军队，定海神针,,1,1
感恩，風雨中的吉祥雲，南無阿彌陀佛,,1,1
辛苦了，愿平安,,1,1
辛苦了，愿平安,,1,1
辛苦了，愿平安！,,1,1
致敬解放军官兵 祝节日快乐,,1,1
希望一切平安,,1,1
建军节96年快乐，致敬最可爱的人,,1,1
这真的是太棒了呀,,1,1
致敬人民解放军,,1,1
让人民子弟兵致敬,,1,1
致敬人民子弟兵！节日快乐,,1,1
解放军救灾冲在前。点赞！,,1,1
太棒了吧，八一快乐哦,,1,1
致敬每个平凡的英雄,,1,1
军人节日快乐～,,1,1
向人民子弟兵致敬,,1,1
致敬人民解放军,,1,1
向人民子弟兵致敬,,1,1
八一建军节,,1,1
为这些可爱的人民解放军点赞。,,1,1
我们可以永远相信人民解放军呀,,1,1
为这些可爱的人民解放军点赞。,,1,1
中国现在的发展离不开解放军的支援,,1,1
向人民解放军致敬,,1,1
看到这感人的一幕太棒了,,1,1
向军人们致敬,,1,1
八一节日快乐,,1,1
向解放军致敬,,1,1
八一建军节日快乐。,,1,1
八一建军节日快乐。,,1,1
致敬解放军希望他们平平安安的,,1,1
真是人民的好军队,,1,1
节日快乐。,,1,1
向伟大的解放军致敬,,1,1
今天八一建军节。给军人们点赞。,,1,1
向中国军人致敬。,,1,1
为解放军点赞，希望平安,,1,1
致敬解放军。,,1,1
解放军今天建军节,,1,1
致敬人民解放军,,1,1
向解放军致敬！,,1,1
致敬中国人民子弟兵,,1,1
人民的军队,,1,1
辛苦了，一定要注意安全,,1,1
这是在通州机场吗,,1,1
81集团路航没有直20？,,1,1
俩人抬一箱方便面，多有意思啊,1,,
希望救与被救都平安,,1,1
人民子弟兵！,,1,1
他们都是有大义和大爱之人，一定要注意安全,,1,
致敬人民英雄，一定要注意身体啊,,1,
真的辛苦啦一定要注意安全啊,,1,
太不容易了，一定要注意安全，平平安安,,1,
感谢你们真的不容易，灾情早点过去吧,,1,
大水无情人有情,,1,
真的很伟大了一方有难，八方支援,,1,
真的觉得他们特别的不容易呀,,1,
真的好心疼啊！好人们一生平安,,1,
看起来真的好辛苦啊,,1,
太让人心疼了！你们辛苦了！,,1,
保护好自己啊,,1,
这些救援队们辛苦了，希望能够早日消灭所有灾难,,1,
看着就疼，太辛苦了！,,1,
太不容易了一定要平安,,1,
致敬，都是英雄,,1,
宝刀不老！,,1,
平平安安！好人一生长寿！,,1,
致敬英雄！,,1,
致敬英雄，希望大家都平平安安,,1,
不畏艰难勇往直前??,,1,
真的很让人难受啊希望红帽可以赶快退,,1,
心疼男人们，咦？危险时刻咋不见女人的呀，女人不是独立自强吗？不是到处抹黑男人吗？,1,,
看到一半标题都害怕。,,1,
要注意自己得安全啊，保护好自己,,1,
天呐，太让人心疼了吧，希望好人一生平安,,1,
太心疼了，希望这些灾难早点过去,,1,
还有家人等你们回去团聚，注意安全,,1,
保护好自己,,1,
这就是我们的英雄呀，他们真的太厉害了,,1,
辛苦啦，愿大家都平安无事???,,1,
辛苦了！太感谢你们了！,,1,
一定要平平安安的,,1,
辛苦了！大义梁山人,,1,
